id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
8d62638425154a4a,"listen hear you c@ck sucker. I am not vandalizing anything, I am adding the truth. I thought thats what wikipedia was for! But I guess we got one to many assh@les who think they know everything around here. Listen Ajraddatz, go F@CK YOURSELF and if you delete my posting again I will report your b#tch @ss.",1,0,1,0,1,0
8d631276e722df39,"Main Page Talk 

I think another enhancement we need at Wikipedia is a breathalyzer.  The bars in New York City close at 4:00 a.m.  If one starts at 8:00 p.m. . . . Well, you do the math -)",0,0,0,0,0,0
8d635b5a6e0d880c,"""

 Please do not vandalize pages, as you did with this edit to Tricking. If you continue to do so, you will be blocked from editing.  gabsadds """,0,0,0,0,0,0
8d64a7120e4b7cf6,"""

 Postwar damage 

The article currently states,

In 1956, the lower part of the painting was severely damaged when someone doused it with acid. On December 30 of that same year, Ugo Ungaza Villegas, a young Bolivian, damaged the painting by throwing a rock at it.

Can anyone perhaps elaborate on this? I mean, the dousing of the painting with acid is reported as though this is a normal thing to be done to a masterpiece and so nothing further needs to be said about it. Did someone just stroll into the Louvre with a beaker of acid and throw it onto the painting? I'd be interested to know the circumstances of this event, in particular why this was done and how it was allowed to happen. Who did it? What was the motivation? How was it repaired? etc. etc. |Talk """,0,0,0,0,0,0
8d64e603bd909ade,"|listas = Alberic 03, Count Of Tusculum",0,0,0,0,0,0
8d6597b70a62463e,"Is hacked accounts actually in the unblock criteria, I couldn't find it but I've heard you can just check the IP, can this be done?",0,0,0,0,0,0
8d662f7f5adcb826,"""
This miscellaneous page is being considered for deletion in accordance with Wikipedia's deletion policy.
Please discuss the matter at this page's entry on the Miscellany for Deletion page.
You are welcome to edit this page, but please do not blank, merge, move (without knowing exactly what you are doing), or remove this notice from the page while the discussion is in progress. For more information, read the Guide to Deletion.
''Maintenance use only:  {{subst:md2|pg=|text=}} {{subst:md3|pg=}} [ log] 

Category:Miscellaneous pages for deletion

""",0,0,0,0,0,0
8d665b81b2cc959f,"Portal:Sydney 

I’m very willing to create a portal on Sydney. All I need to know is whenever I go to create it, it redirects to the Australian portal, how do I change this. I've read throughly the rules on portals, the guidlines, how to make a good portal and so on, because I don't want to make the same mistake that I have on the Sydney page in the past.",0,0,0,0,0,0
8d66c5eda70774d8,"Palestinian people
I am frankly shocked by your attempt to force the inclusion of this completely non WP:NPOV link in Palestinian people. The Middle East Forum has consistantly shown pro Israeli bias and Pipes himself has said that there should be no Palestinian state. An article on a website founded by someone who said that cannot be appropriate in an article on Palestinians.",0,0,0,0,0,0
8d67235438097663,"Not

a Goddamned thing, if you dont like it, its becouse you suck big fat elepant dicks-AppoloBitch",1,0,0,0,0,0
8d673eb4a899739d,"Before you read this, read below 'Up for debate'and then take the next part how it was meant to be taken: as a joke.",0,0,0,0,0,0
8d6822be0eded8b9,This user has been blocked indefinitely for having an offensive username.,0,0,0,0,0,0
8d6a4284d2da7ab6,"M193 vs. M855
Redirected a M193 redlink here, but M193 is not mentioned.  Perhaps a section on M193 vs M885 is deserved. ,  provide some amount of discussion",0,0,0,0,0,0
8d6ba68054cf3976,REDIRECT Talk:Podgórze (Lipsko County),0,0,0,0,0,0
8d6c637f226733f0,"""
, yes, it is on my watchlist. That account is created just today having specific intention to delete some matter from said page. Thanks for reverting it. But I don't think that it is related to any of my actions in last 2 days. Say Hey!! • """,0,0,0,0,0,0
8d6d87d5cb3835a1,"""

Please do not add nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you.    1 . 2 . 3 """,0,0,0,0,0,0
8d6eb8c294a260eb,"King (Tekken) 

Please explain me why King 1 and 2 are two different persons.",0,0,0,0,0,0
8d6f08a2e1582950,"*
Gracias for taking care of my user page , that's very kind and childish of you.",0,0,0,0,0,0
8d705b6679c32b3e,"""

Yeah, I didn't get far in the game. It was fun to play, but I think either it froze up on me during play, or the Playstation did...I can't remember the reason I stopped playing it. I love Short Circuit 2; the first was good, but for some reason the second had more charm...even if it was a poorer made movie. I was never big into Disney. I think my favorite as a child were The Lion King and Rescurers Down Under-maybe even The Great Mouse Detective. Too much singing for my tastes. I'll take Nightmare/Christmas over The Little Mermaid. Speaking of which, Nightmare/Christmas was just released in 3-D. Toy Story was awesome...lol, I was just reciting some dialogue to the first one two nights ago. I was thinking about buying them. I don't remember seeing the second film all the way through.   (Contact me) """,0,0,0,0,0,0
8d710c505da58489,", 6 December 2007 (UTC)
Really?  Conquest is not a historian?  Or is he just not using the historical approach?  Please keep in mind WP:NPOV, and remember that this is not StalinistPedia.   21:27",0,0,0,0,0,0
8d741500d7ba7eaa,"I just wanted folks to more know about actual real vampires.  

I just wanted folks to know more about actual real vampires not just the ones in Hollywood. For centuries real vampires have lived in secrecy and practice the faith in secret. The whole negative discussion as to why my articles should be deleted just validates and supports vampires living in secret and not sharing anything about our lifestyle or faith with the mundane public. (Thank God the rest of the world is a little more open minded and civil, than some of these disgruntled, bitter,  Wikipedians. I find myself laughing at the bitterness and hostile tone of some of these people. They should put this kind of energy into finding a cure for AIDS or ending world hunger. It is amazing that so many obviously, disgruntled, unhappy people are on Wikipedia. I guess not a lot of happy go lucky out the coffin vampires like me are on Wikipedia. Maybe more people should take up the vampire faith. Although it might not help some of these severely depressed and repressed souls. Vampires just do not have the time or energy for this kind of negative energy. I feel really sorry for all those people who have nothing better to do besides sit around and discuss why someone does or does not have a right to post something on Wikipedia. It is really sad and precious time wasted on having a nasty attitude and a closed mind. These people make me thank my lucky stars I am a proud and very happy vampire. 

Many Blessings and Hope All those Unhappy Wikipedians find something positive to do with their time and energy. 

Vampire Libby Hodges",0,0,0,0,0,0
